FID,CODE,THEME,PAYS,IDUU,Shape_Le_1,Shape_Area,NOM,SUM_SUPERF,Shape_Leng,latitude,longitude,map_format
44,4200012,LA,SN, 08cad5d5-4923-45e6-8d59-0751c113372,100194.739374,487505357.143,Fissel,487.505357143,100194.739374,14.558926107843774,-16.677038608995638,"14.558926107843774, -16.677038608995638"
45,4200012,LA,SN, 813985ba-f3e7-42bf-942e-43461b4d973,242790.470951,1855111021.85,Bellé,1855.11102185,242790.470951,14.36124446290813,-12.346768293756744,"14.36124446290813, -12.346768293756744"
46,4200012,LA,SN, 65bed2ae-c633-4709-9013-a70d4a79a19,140859.2915,712540308.949,Sindia,712.54030894,140859.2915,14.505448849779908,-16.987758830505545,"14.505448849779908, -16.987758830505545"
47,4200012,LA,SN, a99694ba-7aad-4218-9874-b88943fa68c,241072.420419,2173217007.43,Missira Wadène,2173.21700743,241072.420419,14.288675390727885,-14.958915182186661,"14.288675390727885, -14.958915182186661"
48,4200012,LA,SN, 9a5871b1-0424-4cdc-9d67-6291c9bd50e,192464.096453,1245714333.25,Ida Mouride,1245.71433325,192464.096453,13.947233348080152,-14.811756729508991,"13.947233348080152, -14.811756729508991"
49,4200012,LA,SN, 3a3fae8f-9694-41c4-bef6-dd9d65cbc80,408372.412411,6766480161.94,Koular,6766.48016194,408372.412411,14.303169426275588,-13.080893666460922,"14.303169426275588, -13.080893666460922"
50,4200012,LA,SN, 6eea56bb-18bb-4ab1-b294-a6a8ada30c1,174541.403906,1623403641.98,Darou Minam 2,1623.40364198,174541.403906,14.482644091523166,-15.237081489601122,"14.482644091523166, -15.237081489601122"
51,4200012,LA,SN, bb2c676d-d58a-43f1-95c5-cd00a031177,163206.053749,933220254.961,Colobane,933.220254961,163206.053749,14.565717512905817,-15.718839380548651,"14.565717512905817, -15.718839380548651"
52,4200012,LA,SN, 899ceb8f-9c9e-4c18-ba36-4a7f1878f8e,99561.8122484,501052894.986,Noto,501.052894986,99561.8122484,14.649936502071904,-16.873640993237515,"14.649936502071904, -16.873640993237515"
53,4200012,LA,SN, c4ac07b7-380a-4788-aaca-cec9d2d57f5,126860.599205,701935334.675,Kaèl,701.935334675,126860.599205,14.660230054443351,-15.92486239870445,"14.660230054443351, -15.92486239870445"
54,4200012,LA,SN, 8e5c8154-e90b-47ed-81c8-fd2f285aa27,110427.161633,650132443.019,Ndoulo,650.132443019,110427.161633,14.65989682792462,-16.187901818562263,"14.65989682792462, -16.187901818562263"
55,4200012,LA,SN, 7adc183e-1c61-4b25-aff5-fba1dd88c15,109316.905408,467676037.891,Ngoye,467.676037891,109316.905408,14.679408838165344,-16.450084831869862,"14.679408838165344, -16.450084831869862"
56,4200012,LA,SN, 0f0d7183-a095-4cb3-90aa-a3b7f450a7f,106948.599656,583547396.18,Taïf,583.54739618,106948.599656,14.757714077227304,-15.583413424303682,"14.757714077227304, -15.583413424303682"
57,4200012,LA,SN, aea5f064-7971-49ca-901a-d4ce359dcf7,89235.9129981,466746636.033,Lambaye,466.746636033,89235.9129981,14.807496745257673,-16.492125583000746,"14.807496745257673, -16.492125583000746"
58,4200012,LA,SN, 75fc5f23-346c-42cf-8885-fd47077c470,100750.968397,539296519.427,Thiénaba,539.296519427,100750.968397,14.780639679796986,-16.713461609980172,"14.780639679796986, -16.713461609980172"
59,4200012,LA,SN, b94955f6-b1c0-4096-b07b-08aee1c5bf2,126992.253212,567712388.844,Keur Moussa,567.712388854,126992.253212,14.796752323431493,-17.01503720491897,"14.796752323431493, -17.01503720491897"
60,4200012,LA,SN, 0eef154c-6403-4c77-bc70-77bd6ae685d,139214.817217,954781302.832,Ndame,954.781302832,139214.817217,14.865664116173884,-15.918292272113339,"14.865664116173884, -15.918292272113339"
61,4200012,LA,SN, 27926134-fce0-437d-9b6f-6e356e99b50,109583.204642,636038312.055,Ndindy,636.038312055,109583.204642,14.877563800338576,-16.24737612911407,"14.877563800338576, -16.24737612911407"
62,4200012,LA,SN, c1eba1c7-ed3f-4663-8a9b-48e4d10f307,88142.2126984,398877690.806,Baba Garage,398.877690806,88142.2126984,14.940281276269593,-16.514056635426748,"14.940281276269593, -16.514056635426748"
63,4200012,LA,SN, 03e01103-72b0-4168-a4e7-add7e4dcc56,139641.410159,682537153.392,Pambal,682.537153392,139641.410159,14.939616297541328,-16.887849138402242,"14.939616297541328, -16.887849138402242"
64,4200012,LA,SN, fac650fd-8e8c-4fff-a327-49234ad8700,202787.132771,1352245795.82,Moudéri,1352.24579582,202787.132771,14.800308793807302,-12.447736635291628,"14.800308793807302, -12.447736635291628"
65,4200012,LA,SN, 429d5139-0164-4ce3-b2a2-9a3967a2898,135207.124076,640176553.764,Mérina Dakhar,640.176553764,135207.124076,15.092120503490875,-16.53469090810612,"15.092120503490875, -16.53469090810612"
66,4200012,LA,SN, f8b88faa-1cee-4bb3-9acb-f150fef6daa,139456.368877,969712040.303,Méouane,969.712040303,139456.368877,15.136116569234636,-16.81012540280289,"15.136116569234636, -16.81012540280289"
67,4200012,LA,SN, 36551090-fd8a-40bf-b51e-f9c0c9d4721,173510.652719,791979460.184,Niakhène,791.979460184,173510.652719,15.15422792212936,-16.346557807110546,"15.15422792212936, -16.346557807110546"
68,4200012,LA,SN, c97ba0c9-97a8-43eb-85ac-b9bb61cb714,170233.982153,1606829192.79,Darou Mousty,1606.82919279,170233.982153,15.151495119700918,-15.995563080551339,"15.151495119700918, -15.995563080551339"
69,4200012,LA,SN, d015e04a-3483-4f0b-91c4-ef06773a44a,366843.257893,6137616722.5,Barkédji,6137.6167225,366843.257893,15.023060634139926,-15.011019151971245,"15.023060634139926, -15.011019151971245"
70,4200012,LA,SN, 7ffe26cd-92d6-44a7-b7c8-fffcbfd271e,154072.579935,830500040.964,Sagata Geth,830.500040964,154072.579935,15.342740160451733,-16.233436092731896,"15.342740160451733, -16.233436092731896"
71,4200012,LA,SN, 181059b2-2123-4ec2-9bcb-a2d344286b2,221474.033245,2916138495.37,Sagata Diolof,2916.13849537,221474.033245,15.182231547474906,-15.59780177285164,"15.182231547474906, -15.59780177285164"
72,4200012,LA,SN, 80088d5a-60e7-47b9-8f26-63638e9897e,419010.46216,6119707840.82,Ouro Sidi,6119.70784082,419010.46216,14.987294332962476,-13.253798996165898,"14.987294332962476, -13.253798996165898"
73,4200012,LA,SN, cb39db14-2076-497a-95f1-c49cc265419,172473.265877,1509678040.77,Ndande,1509.67804077,172473.265877,15.443872126557132,-16.558583884515546,"15.443872126557132, -16.558583884515546"
74,4200012,LA,SN, 782de541-0709-400e-a3ea-83d6ef128a9,115583.74321,755039309.119,Mbédiène,755.039309119,115583.74321,15.583604545412097,-16.188321130833433,"15.583604545412097, -16.188321130833433"
75,4200012,LA,SN, dc37950c-9d41-408e-895b-6420d29a9c6,294784.755368,4406210623.23,Yang-Yang,4406.21062323,294784.755368,15.742340237223994,-15.275712154931824,"15.742340237223994, -15.275712154931824"
76,4200012,LA,SN, b87771ad-f411-40fb-836a-ce4dd91a58a,362100.724643,3871543792.85,Ogo,3871.54379285,362100.724643,15.639530847254848,-13.577637942619528,"15.639530847254848, -13.577637942619528"
77,4200012,LA,SN, 58124798-f568-4427-a414-517d4e575f1,143971.332293,800372168.301,Rao,800.372168301,143971.332293,15.957735409152756,-16.37125451289442,"15.957735409152756, -16.37125451289442"
78,4200012,LA,SN, 160388de-9c99-468e-88b4-1f30ddf03c2,208035.828688,1874045314.76,Agnam Civol,1874.04531476,208035.828688,15.890738678250438,-13.740440934769707,"15.890738678250438, -13.740440934769707"
79,4200012,LA,SN, 79f2adb5-ba82-4055-a70e-c0abfe78032,232574.526221,2823056474.78,Keur Momar Sarr,2823.05647478,232574.526221,15.84516048982568,-15.836858038172947,"15.84516048982568, -15.836858038172947"
80,4200012,LA,SN, 142202ab-9dbe-407e-aebe-297d98cd48d,279388.652585,2744047968.04,Saldé,2744.04796804,279388.652585,15.8832304308397,-14.142328788234497,"15.8832304308397, -14.142328788234497"
81,4200012,LA,SN, 71cbb46c-6d43-49fe-a9f6-8d228d62cd7,271388.694085,3116807322.47,Cas Cas,3116.80732247,271388.694085,16.182299141077383,-14.317378000577758,"16.182299141077383, -14.317378000577758"
82,4200012,LA,SN, 5964988c-1f54-4267-ac66-a8ad6475149,296487.670711,3116614643.87,Ndiaye Ngènt,3116.61464387,296487.670711,16.282943754479817,-16.094274659409418,"16.282943754479817, -16.094274659409418"
83,4200012,LA,SN, 5179460f-7638-4b60-aa21-c10c0bf6640,266054.493041,3205729929.71,Thillé Boubakar,3205.72992971,266054.493041,16.312953490956044,-15.164721758433052,"16.312953490956044, -15.164721758433052"
84,4200012,LA,SN, 75741d40-0ccf-43e5-985e-3b52b7ede1b,407274.398515,3861477498.67,Gamadji Sarré,3861.47749867,407274.398515,16.329524940064378,-14.705601122367247,"16.329524940064378, -14.705601122367247"
85,4200012,LA,SN, 780b04e4-368e-4d96-9f29-37a432c73f3,191902.631408,800241812.26,Diaroumé,800.24181226,191902.631408,13.03794853413748,-15.501423068577196,"13.03794853413748, -15.501423068577196"
86,4200012,LA,SN, f5213a73-ec9f-44c3-8386-1aa94e66176,189527.806003,1252958053.99,Bogal,1252.95805399,189527.806003,13.241511625550036,-15.540660304378545,"13.241511625550036, -15.540660304378545"
87,4200012,LA,SN, 2649d37a-5fd4-4336-b7fa-3c5b5703b96,142766.320503,688790950.095,Djirédji,688.790950095,142766.320503,12.653426541437945,-15.734543893045794,"12.653426541437945, -15.734543893045794"
88,4200012,LA,SN, 0d455cd6-f27c-4752-b1d4-b6ffaa328c9,115097.65391,470165211.842,Karantaba,470.165211842,115097.65391,12.777468209460237,-15.348299957667429,"12.777468209460237, -15.348299957667429"
89,4200012,LA,SN, 4aefadd6-5036-4892-b1c6-e5cc92a475b,112267.454452,555365478.756,Dioulacolon,555.365478756,112267.454452,12.763664974898031,-14.977035054443629,"12.763664974898031, -14.977035054443629"
90,4200012,LA,SN, aed58ee9-6022-446a-a7ee-1d7fe75f770,213757.78242,1662254864.77,Niaming,1662.25486477,213757.78242,13.358039886184564,-14.898576976569043,"13.358039886184564, -14.898576976569043"
91,4200012,LA,SN, 2527bcb9-ca80-4aa3-8aa0-00d0e8c9f6f,136022.894583,885369693.593,Fafacourou,885.369693593,136022.894583,13.128578098024493,-14.504697361975387,"13.128578098024493, -14.504697361975387"
92,4200012,LA,SN, 67ce5acd-0cab-49cf-9af3-ee6a094696d,180154.368153,751259640.694,Dakatéli,751.259640694,180154.368153,12.517282558565856,-12.622258196612828,"12.517282558565856, -12.622258196612828"
93,4200012,LA,SN, b35e3e14-0021-4771-8a81-518e6157a45,405073.929623,3655578507.0,Bembou,3655.578507,405073.929623,12.743228858787377,-11.687490055685332,"12.743228858787377, -11.687490055685332"
94,4200012,LA,SN, 7e2c4d3b-c716-4957-ab7f-d7679835da4,274120.927585,2823135665.78,Bala,2823.13566578,274120.927585,13.760625891080714,-13.193061040716783,"13.760625891080714, -13.193061040716783"
